,location,tweetcreatedts,clean_tweet,vader_score,vader_sentiment_label,sentiment
323,"Blackburn, UK",2020-05-28 11:10:38,Today’s #mentalhealth challenge create #gratitude list. This help increase #happiness reduce #depression. Do share list https://t.co/rAtEj8Qr5j #MentalHealthMatters #COVID19 #StayAlert #StaySafe https://t.co/VKyy9Pyy8d,0.8957,1,positive
324,Canada,2020-05-28 11:09:41,"Deborah MacNamara, author Rest, Play, Grow: Making Sense Preschoolers (or anyone acts like one), explains #play help #children manage #stress #anxiety #coronavirus outbreak. #playmatters #parenting https://t.co/kLMrSYrqbq",0.6705,1,positive
325,"First Hill, Seattle",2020-05-28 11:07:08,"#coronavirus #pandemic #depression #unemployment #lockdown #depression2020 #Seattle #endthelockdown #music Major #COVID19 virtual relief #concert feature #PearlJam, Dave Matthews, Brandi Carlile, usual. 𝘈𝘭𝘭 𝘪𝘯 𝘏𝘰𝘤𝘬 𝘞𝘈 airs June 10. https://t.co/RWuhtxAtc0",-0.5,-1,negative
326,,2020-05-28 11:05:33,#COVID__19 /#coronavirus affecting everyone's #mentalhealth including children. Help raise money publish picture book children #depressed #depression https://t.co/xDPXjMnFlp,-0.6486,-1,negative
327,Cheshire & Manchester,2020-05-28 10:55:00,Parental Burnout Is Real Right Now: How To Cope Going Into Summer https://t.co/Q3zfDMfzYF #parentalburnout #stress https://t.co/TaRvsuqs01,-0.4215,-1,negative
328,UK,2020-05-28 10:52:28,Parents may notice #Covid_19 added #stress teenagers usually feel. Empathy one strategy helps mitigate stress. There 3 kinds empathy - valuable. @micheleborba explains. https://t.co/i6bmUrpCoQ,0.0258,0,neutral
329,"Kolkata, India",2020-05-28 10:51:34,Life throwing lemons I right equipment make lemonade. What I do!!!? . . . #lockdown2020 #COVID__19 #depression #life #thursdaymorning #LEMONS,-0.6784,-1,negative
330,"Andover, Hampshire, UK",2020-05-28 10:46:43,How manage lockdown frustration better: Some help Pandemic Pastoral Podcast team. https://t.co/KmrsoMzL1T #Pandemic #Podcast #COVID19 #lockdownuk #frustrated #stress #mentalhealth #Support #advice #encouragement #StayHome https://t.co/03qxvR0rTe,0.2023,1,positive
331,"Franklin, TN",2020-05-28 10:45:09,"Start TRIAL today https://t.co/SLTAi1XZP0 featuring unique, on-demand, HIGH DEFINITION sounds help promoting sleep revitalization. #taummhoms #insomnia #relief #covid19 #sleepschedule #health #anxiety #stress #sleep #circadianrhythm https://t.co/a94dkMngBA",0.5859,1,positive
332,Under the microscope,2020-05-28 10:42:00,"Tuesday #Recruiter #LinkedIN told touch unless I worth speaking to. I #Contract 5Months due #Brexit, #IR35 &amp; #Covid19. I #Depression &amp; came pretty close checking @BorisJohnson. #ExcludedUK #StopTheOffPayrollTax",0.1027,1,positive
333,,2020-05-28 10:34:59,"I’m usually really sad time, going #depression hashtag #COVID19 even worse. So many people can’t pay rent. This horrible.",-0.9336,-1,negative
334,UK,2020-05-28 10:26:29,Employees want support #MentalHealth #COVID19 pandemic nearly one five people experiencing poor #MentalWellbeing said work causing #stress daily lives... #WorkplaceWellbeing @BenendenHealth https://t.co/LntVpZ2myB,-0.4404,-1,negative
335,"New Delhi, India",2020-05-28 10:22:54,My interview #Parvathy @parvatweets speaks length first time long battle #depression. She also tells proud #Kerala's response #COVID19 &amp; 2019 film #Virus must-watch pandemic https://t.co/Q96kRGqIMf,-0.4939,-1,negative
336,,2020-05-28 10:18:43,@sima_kotecha #COVID__19 /#coronavirus affecting everyone's #mentalhealth including children. Help raise money publish picture book children #depression https://t.co/xDPXjMnFlp,-0.25,-1,negative
337, UK,2020-05-28 10:12:52,"Great work Dr Sarah Swan webinars. We're bringing practical coping skills staff help reduce stress anxiety relation COVID-19, ease return work improve wellbeing https://t.co/9z5mqJGy2l #covid19 #anxiety #wellbeing #stress #mentalhealth https://t.co/YX1d5mkdLG",0.6369,1,positive
338,"Paris, France",2020-05-28 10:12:32,"The largest two days event International Research Awards Primary Healthcare Medicare June 20-21, 2021 | Paris, France Website: https://t.co/CzuvKUEe5h #Primaryhealthcare #COVID19 #Mentalillness #Cardiology #Diabetes #HIV... https://t.co/IrSUyqevZv",0.4588,1,positive
339,,2020-05-28 10:11:06,AMEN. https://t.co/VKL1ZxZSKh Touch: https://t.co/IN9IezZ3GH #coronavirus #CoronavirusPandemic #COVID19 #Covid19Out #ChinaVirus #ChinaLiedPeopleDied #depression #HealthcareHeroes #health #PrayerRequest #amreading #books #Reading #mustread #ebook #bynr #paranormal #spirituality https://t.co/13X2KiMmhU,-0.5719,-1,negative
340,"Paris, France",2020-05-28 10:08:39,"The largest two days event International Conference Primary Healthcare Medicare June 20-21, 2021 | Paris, France Website: https://t.co/1Oc50loJkL #Infectiousdiseases #Primaryhealthcare #COVID19 #Mentalillness #Cardiology... https://t.co/XTJoTpXn0W",0.0,0,neutral
341,Devon,2020-05-28 10:04:07,"3 ways cut brain fog stress onset coronavirus pandemic, according ... - https://t.co/CIwwDlEMkF #GoogleAlerts #workingfromhome #COVID19 #stress #MentalHealthAwareness #MentalHealthMatters",-0.7717,-1,negative
342,Sussex,2020-05-28 10:03:08,"Great work Dr Sarah Swan webinars. We're bringing practical coping skills staff help reduce stress anxiety relation COVID-19, ease return work improve wellbeing https://t.co/9z5mqJGy2l #covid19 #anxiety #wellbeing #stress #mentalhealth https://t.co/YX1d5mkdLG",0.6369,1,positive
343,United Kingdom,2020-05-28 09:58:26,Safety FIRST. https://t.co/VKL1ZxZSKh P U S H: https://t.co/IN9IezZ3GH #COVID2019 #LetsFightCovid19 #coronavirus #SocialDistancing #COVID19 #depression #paranormal #Metaphysical #spirituality #ebooks #book #amreading #books #greatreads #Prayer #Reading #mustread #BYNR https://t.co/L7DT7cxod8,-0.2263,-1,negative
344,Nottingham UK,2020-05-28 09:57:52,Safety FIRST. https://t.co/VKL1ZxZSKh P U S H: https://t.co/IN9IezZ3GH #COVID2019 #LetsFightCovid19 #coronavirus #SocialDistancing #COVID19 #depression #paranormal #Metaphysical #spirituality #ebooks #book #amreading #books #greatreads #Prayer #Reading #mustread #BYNR https://t.co/L7DT7cxod8,-0.2263,-1,negative
345,,2020-05-28 09:50:39,"Sadly #Covid19 lockdown getting down. For using CBD daily helped #stress, #anxiety enabled comfortable nights sleep. It may help too. #mentalhealth #insomnia #kaloncbd https://t.co/2ZcaZSNFxu #mentalwellbeing #freedelivery https://t.co/TuvScwLhWi",-0.0772,-1,negative
346,07410 942 820,2020-05-28 09:50:09,"Sadly #Covid19 lockdown getting down. For using CBD daily helped #stress, #anxiety enabled comfortable nights sleep. It may help too. #mentalhealth #insomnia #kaloncbd https://t.co/2ZcaZSNFxu #mentalwellbeing #freedelivery https://t.co/TuvScwLhWi",-0.0772,-1,negative
347,"Portland, ME",2020-05-28 09:40:21,Collision Crises: How Covid-19 Will Propel Drug Overdose From Bad To Worse. My latest @Forbes : https://t.co/7NH7Zb97gE #addiction #mentalhealth #COVID19 #pandemic #stress #anxiety #despair #treatment #recovery #publichealth #harmreduction #ChronicPain https://t.co/QTcsNdEV5c,-0.9313,-1,negative
348,"Harare, Zimbabwe",2020-05-28 09:39:11,"📰 1st REPORT finding low-income country, #ZImbabwe🇿🇼 #FriendshipBench !) Showing people 3x likely suffer long-term #depression also high anxiety levels. #covid19 #reserach #mentalhealth @KingsIoPPN @kubatana https://t.co/Zzws4hjQ3y https://t.co/5Eex3JeZBQ",-0.8478,-1,negative
349,India - The Netherlands,2020-05-28 09:20:47,"Amid lockdown due #COVID19, mental health related issues #stress #anxiety become part life. Once restrictions over, fly #Ladakh, known #serenity #NaturalBeauty, beat blues. PC: @stanzinkhakyab #phugtal #zanskar #monastery https://t.co/GeypPwipFA",-0.5423,-1,negative
350,Un partout dans le monde,2020-05-28 09:20:15,Some #Tips reduce #stress period. #mentalhealth #COVID__19 #physicalhealth #wellness #StaySafeStayHealthy https://t.co/71OLQ9Qo6q,0.0258,0,neutral
351,"Eastbourne, East Sussex",2020-05-28 09:13:10,"Tuesday #Recruiter #LinkedIN told touch unless I worth speaking to. I #Contract 5Months due #Brexit, #IR35 &amp; #Covid19. I #Depression &amp; came pretty close checking @BorisJohnson. #ExcludedUK #StopTheOffPayrollTax",0.1027,1,positive
352,,2020-05-28 09:05:36,Please like RT agree. #depression #COVID19 #lockdown #Mentalhealth #MEMES #life #quote https://t.co/4ca3ALAXPs,0.3818,1,positive
353,"Leicester, England",2020-05-28 09:01:52,Power intention meeting today - reduce #stress #anxiety. Increase #wellbeing. All welcome. #coronavirus #support Sign here: https://t.co/oo838KSy7X,0.5423,1,positive
354,,2020-05-28 08:58:55,My interview #Parvathy @parvatweets speaks length first time long battle #depression. She also tells proud #Kerala's response #COVID19 &amp; 2019 film #Virus must-watch pandemic https://t.co/Q96kRGqIMf,-0.4939,-1,negative
355,,2020-05-28 08:52:23,My interview #Parvathy @parvatweets speaks length first time long battle #depression. She also tells proud #Kerala's response #COVID19 &amp; 2019 film #Virus must-watch pandemic https://t.co/Q96kRGqIMf,-0.4939,-1,negative
356,"Maadi, Cairo ",2020-05-28 08:51:43,Some #Tips reduce #stress period. #mentalhealth #COVID__19 #physicalhealth #wellness #StaySafeStayHealthy https://t.co/71OLQ9Qo6q,0.0258,0,neutral
357,Everywhere To Retweet You,2020-05-28 08:41:14,"Tuesday #Recruiter #LinkedIN told touch unless I worth speaking to. I #Contract 5Months due #Brexit, #IR35 &amp; #Covid19. I #Depression &amp; came pretty close checking @BorisJohnson. #ExcludedUK #StopTheOffPayrollTax",0.1027,1,positive
358,Living Amongst You ,2020-05-28 08:37:34,"Tuesday #Recruiter #LinkedIN told touch unless I worth speaking to. I #Contract 5Months due #Brexit, #IR35 &amp; #Covid19. I #Depression &amp; came pretty close checking @BorisJohnson. #ExcludedUK #StopTheOffPayrollTax",0.1027,1,positive
359,India,2020-05-28 08:26:38,My interview #Parvathy @parvatweets speaks length first time long battle #depression. She also tells proud #Kerala's response #COVID19 &amp; 2019 film #Virus must-watch pandemic https://t.co/Q96kRGqIMf,-0.4939,-1,negative
360,Kenya,2020-05-28 08:15:22,Managing Stress Sleeplessness During COVID-19 https://t.co/aXtRN7ziKs via @faithhealthhome #stress #sleep #covid19 #mentalhealth,-0.802,-1,negative
361,"Missouri, USA",2020-05-28 08:14:36,Managing Stress Sleeplessness During COVID-19 https://t.co/aXtRN7ziKs via @faithhealthhome #stress #sleep #covid19 #mentalhealth,-0.802,-1,negative
362,Bangalore,2020-05-28 08:11:19,Mental health series STAY CONNECTED #Mentalillness #Covid19 #anxietyissues #mentalhealth #stressissues #wellbeing #coronavirus #triggers #staysafe #anger #frustration #depression #symptomsofdepression #teens #lockdown #socialdistancing #familytime #virtualdates #stayconnected https://t.co/kX7WkszboR,-0.8885,-1,negative
363,Bangalore,2020-05-28 08:08:00,This The #Coach AKA @ABTheCoach's life turned upside #uncle #UK tested #positive #COVID__19 #Anxiety #stress #MentalHealthMatters #recovery Read column here: https://t.co/bTpyNZUrGP 👇👇,0.0258,0,neutral
364,London,2020-05-28 08:01:18,"Ep 9 Cannabis Voices. Can #cannabis #CBD help manage #coronavirus anxiety? Dr Julie Moltke unpacks #stress, affects body, plus gives short guided #meditation help us relax https://t.co/M2UOf9fWUs #stressmanagement #cannabispodcast #medicalcannabis https://t.co/KqREAnCJpI",0.5859,1,positive
365,"PGIMER, Chandigarh, India",2020-05-28 07:42:19,"@VertigoWarrior They need Psychiatry consultation. These faith-healers make money mentally ill patients, sad. We happy help free consultation @PGIMER #Chandigarh #MentalHealthAwarenessMonth #Mentalhealth #COVID19 #MentalHealthMonth #mentalillness https://t.co/diqvXZYkxt",0.5859,1,positive
366,"Jos, Nigeria",2020-05-28 07:37:59,Common thinking traps solutions. #COVID19 #Coronavirus #Stress #Trauma #Anxiety #Depression #MentalHealth #mentalillness #SelfSupport #SelfCare #PositiveMindset #Hope #Recovery #Selflove #SuicidePrevention #Counselling #StopTheStigma #SupportDoNotPunish #Empathy https://t.co/uhTfLrHjHO,-0.7506,-1,negative
367,"Jos, Nigeria",2020-05-28 07:37:01,Your empathy super power weakness &amp; world needs less. #COVID19 #Coronavirus #Stress #Trauma #Anxiety #Depression #MentalHealth #mentalillness #SelfSupport #SelfCare #PositiveMindset #Hope #Recovery #Selflove #SuicidePrevention #Counselling https://t.co/eizCEBgOUt,-0.6943,-1,negative
368,"Jos, Nigeria",2020-05-28 07:36:32,For feel stuck. Here tips get auto pilot mode. #COVID19 #Coronavirus #Stress #Trauma #Anxiety #Depression #MentalHealth #mentalillness #SelfSupport #SelfCare #PositiveMindset #Hope #Recovery #Selflove #SuicidePrevention #Counselling #StopTheStigma https://t.co/MwQu6uMidw,-0.8442,-1,negative
369,"Jos, Nigeria",2020-05-28 07:35:55,For feel stuck. Here tips get auto pilot mode. #COVID19 #Coronavirus #Stress #Trauma #Anxiety #Depression #MentalHealth #mentalillness #SelfSupport #SelfCare #PositiveMindset #Hope #Recovery #Selflove #SuicidePrevention #Counselling #StopTheStigma https://t.co/MwQu6uMidw,-0.8442,-1,negative
370,"Chennai, India",2020-05-28 07:27:45,Trust expert. You expert. #corona #covid #bepositive #expert #stress #panic #calm #work #future https://t.co/1QyRln4j5z,-0.128,-1,negative
371,"Baton Rouge, LA",2020-05-28 07:11:04,HERE’S WHAT WE LEARNED FROM OUR COVID-19 SURVEY STUDY OF HEALTH BEHAVIOR CHANGE #Diet #exercise #sleep #anxiety #stress #cookingathome #ExerciseAtHome https://t.co/FeyGjF7psN via @Baton Rouge Business Report,-0.5423,-1,negative
372,,2020-05-28 07:04:59,@MalaysiaMFA dear wisma putra please repatriate Malaysians back India. #RESCUE #HELP #COVID19 #DEPRESSION #STRESS,0.5267,1,positive
373,New Delhi,2020-05-28 07:02:09,How deal Anger? #Lockdown #Corona #Covid_19 #Covid_19india #India #Stress #stressmanagement #stressrelief #stressfree #calm #happy #peace #creator #emotionalintelligence https://t.co/WCS7w0uuAe,0.4588,1,positive
374,SFO | HNL | NRT,2020-05-28 07:01:45,The psychiatric impacts #COVID19 terms causal relationships molecular mechanisms still known yet current time. I wonder #serotonin findings implications #depression.,-0.5719,-1,negative
375,"Virginia, USA",2020-05-28 06:59:07,Where money taken paycheck taxes go? It certainly gone towards providing government aid I needed @GovernorVA @realDonaldTrump #EssentialWorkers #COVID19 #depression,-0.3182,-1,negative
376,London UK,2020-05-28 06:48:12,Be Smart. Be SAFE. https://t.co/VKL1ZxZSKh CLICK: https://t.co/IN9IezZ3GH #StayAtHome #CoronavirusPandemic #COVIDー19 #coronavirus #paranormal #Metaphysical #spirituality #health #depression #books #amreading #mustread #greatreads #ebooks #Reading #book #bookboost #BYNR #pray https://t.co/5gpYagosbb,0.6037,1,positive
377,London UK,2020-05-28 06:48:04,Safety FIRST. https://t.co/VKL1ZxZSKh P U S H: https://t.co/IN9IezZ3GH #COVID2019 #LetsFightCovid19 #coronavirus #SocialDistancing #COVID19 #depression #paranormal #Metaphysical #spirituality #ebooks #book #amreading #books #greatreads #Prayer #Reading #mustread #BYNR https://t.co/L7DT7cxod8,-0.2263,-1,negative
378,"Russia, Moscow",2020-05-28 06:46:29,Safety FIRST. https://t.co/VKL1ZxZSKh P U S H: https://t.co/IN9IezZ3GH #COVID2019 #LetsFightCovid19 #coronavirus #SocialDistancing #COVID19 #depression #paranormal #Metaphysical #spirituality #ebooks #book #amreading #books #greatreads #Prayer #Reading #mustread #BYNR https://t.co/L7DT7cxod8,-0.2263,-1,negative
379,,2020-05-28 06:25:15,Ambiguity COVID19 pandemic cause stress &amp; anxiety many. Is Mental Health Future India Really Bleak? Read More : https://t.co/MOtCvqc0pg #MentalHealth #MindMatters #stress #anxiety #pandemic #StampOutStigma #Covid19 https://t.co/YM1YWIwOEL,-0.7906,-1,negative
380,Republic of Nambia,2020-05-28 06:21:30,"#Anxiety, overeating &amp; under-exercising, insomnia &amp; #depression seen problems arising result #Covid_19 &amp; #lockdown South Africa. Only 30% online South Africans indicated suffer listed conditions. https://t.co/XF0kc1aEvC https://t.co/2l4qRkZVjV",-0.891,-1,negative
381,Deepika's heart❤,2020-05-28 06:19:59,My interview #Parvathy @parvatweets speaks length first time long battle #depression. She also tells proud #Kerala's response #COVID19 &amp; 2019 film #Virus must-watch pandemic https://t.co/Q96kRGqIMf,-0.4939,-1,negative
382,South Africa,2020-05-28 06:17:33,"#Anxiety, overeating &amp; under-exercising, insomnia &amp; #depression seen problems arising result #Covid_19 &amp; #lockdown South Africa. Only 30% online South Africans indicated suffer listed conditions. https://t.co/XF0kc1aEvC https://t.co/2l4qRkZVjV",-0.891,-1,negative
383,"Oregon, USA",2020-05-28 05:47:34,"That's America's biggest tragedy outside deaths virus. Half people probably read every day well, makes #GetTheFacts important quell 10% fears. #Anxiety #Depression #COVID19 https://t.co/FtIT3Rb4dw",-0.8658,-1,negative
384,Mumbai,2020-05-28 05:30:16,It’s virus. You can’t let consume thoughts #COVID__19 #Corona #BeatCOVID19 #Immunity #ImmuneSystem #immunesupport #stress #stressmanagement #VirusCorona #RachnaRestores #autoimmune #warrior https://t.co/Ja3izHjVFW,-0.4215,-1,negative
385,Mind your own business.,2020-05-28 05:26:51,I cannot fall asleep again... Should I start counting sheep? #Covid_19 #mentalhealth #MentalHealthAwareness #QuarantineDiaries #depression,-0.5719,-1,negative
386,,2020-05-28 05:24:52,My interview #Parvathy @parvatweets speaks length first time long battle #depression. She also tells proud #Kerala's response #COVID19 &amp; 2019 film #Virus must-watch pandemic https://t.co/Q96kRGqIMf,-0.4939,-1,negative
387,,2020-05-28 05:24:37,"Stress management important, specially times Coronavirus. Read understand simple yet effective ways stress management. https://t.co/gWG6CeTpRI #evolve #stress #stressmanagement #meditation #mindfulness #coronavirus #covid_19",-0.5423,-1,negative
388,"Bengaluru, India",2020-05-28 05:12:44,Feeling stressed every day uncertain future take toll health well-being. Here foods help combat stress: https://t.co/17MHVwhXeh #Food #Health #Stress #COVID19,-0.8126,-1,negative
389,,2020-05-28 05:11:51,My interview #Parvathy @parvatweets speaks length first time long battle #depression. She also tells proud #Kerala's response #COVID19 &amp; 2019 film #Virus must-watch pandemic https://t.co/Q96kRGqIMf,-0.4939,-1,negative
390,"Bengaluru, India",2020-05-28 04:42:21,My interview #Parvathy @parvatweets speaks length first time long battle #depression. She also tells proud #Kerala's response #COVID19 &amp; 2019 film #Virus must-watch pandemic https://t.co/Q96kRGqIMf,-0.4939,-1,negative
391,"Liège, Belgique",2020-05-28 04:32:23,Super pleased jointly written (w @JLSkillings) resource consulting #anxiety #stress #Covid_19 #HealthcareHeroes @APA @APAPractice @division42 @GovMikeDeWine @DrAmyActon @APADivision38 https://t.co/ZGjfRhAzkt,0.5106,1,positive
392,,2020-05-28 04:31:09,HERE’S WHAT WE LEARNED FROM OUR COVID-19 SURVEY STUDY OF HEALTH BEHAVIOR CHANGE #Diet #exercise #sleep #anxiety #stress #cookingathome #ExerciseAtHome https://t.co/FeyGjF7psN via @Baton Rouge Business Report,-0.5423,-1,negative
393,"Melbourne, Australia",2020-05-28 04:30:27,#COVID19 #coronavirus #cytokinestorm #inflammation #colitis #diabetes #arthritis #rheumatoidarthritis #cancer #cytokines #stress #neuroinflammation #depression #mentalhealth Modulation Melatonin Pathogenesis Inflammatory Autoimmune Diseases https://t.co/hVSdi3V1WE https://t.co/n9fM347o5k,-0.8979,-1,negative
394,,2020-05-28 04:27:59,"A nice document @mariwalahealth – must read resource guide Covid-19 #mental health, #stress affects body, deal #uncertainty #isolation read whole document https://t.co/goOOqd8v0D #mentalhealth #covid-19 #anxiety https://t.co/jbjtwMEEsK",-0.7003,-1,negative
395,"Nevada, USA",2020-05-28 04:17:10,Can something PLEASE go right ONCE?! Just lost 4 bunnies snake. Lost 2 cats coyotes last 2 months. I ZERO income since 3/20 I’m around miserable. #FML #fuckcovid #COVID19 #depression #depressed #igiveup,-0.9013,-1,negative
396,United States,2020-05-28 04:16:09,"Learn managing #stress, #anxiety, loneliness may result #COVID19 social distancing @LivingBeyondBC #bcsm https://t.co/cI2oZRvE39",-0.743,-1,negative
397,Kenya,2020-05-28 04:15:47,"Whether you’re frontline worker, parent, senior teacher, If you’re experiencing #anxiety, #depression #mentalhealth challenges arising COVID-19 pandemic virtual service available help you! Check list! https://t.co/iG7wdvVzXY https://t.co/4ZvqiZ7bQi",-0.4559,-1,negative
398,"British Columbia, Canada",2020-05-28 04:13:46,"Whether you’re frontline worker, parent, senior teacher, If you’re experiencing #anxiety, #depression #mentalhealth challenges arising COVID-19 pandemic virtual service available help you! Check list! https://t.co/iG7wdvVzXY https://t.co/4ZvqiZ7bQi",-0.4559,-1,negative
399,"Victoria, BC CANADA",2020-05-28 04:05:37,Don’t keep #stress body! Don’t stay home whole day! Some people might worry risk #COVID19 safe activities still enjoy sunshine! It’s time play #GOLF! https://t.co/Ohy2hHcmit #activity #people #fun #outdoor https://t.co/cHzqc0Gdc7,0.8544,1,positive
400,Bombay,2020-05-28 04:00:18,My interview #Parvathy @parvatweets speaks length first time long battle #depression. She also tells proud #Kerala's response #COVID19 &amp; 2019 film #Virus must-watch pandemic https://t.co/Q96kRGqIMf,-0.4939,-1,negative
401,,2020-05-28 03:53:35,Safety FIRST. https://t.co/VKL1ZxZSKh P U S H: https://t.co/IN9IezZ3GH #COVID2019 #LetsFightCovid19 #coronavirus #SocialDistancing #COVID19 #depression #paranormal #Metaphysical #spirituality #ebooks #book #amreading #books #greatreads #Prayer #Reading #mustread #BYNR https://t.co/L7DT7cxod8,-0.2263,-1,negative
402,"Melbourne, Australia",2020-05-28 03:52:02,AMEN. https://t.co/VKL1ZxZSKh Touch: https://t.co/IN9IezZ3GH #coronavirus #CoronavirusPandemic #COVID19 #Covid19Out #ChinaVirus #ChinaLiedPeopleDied #depression #HealthcareHeroes #health #PrayerRequest #amreading #books #Reading #mustread #ebook #bynr #paranormal #spirituality https://t.co/13X2KiMmhU,-0.5719,-1,negative
403,,2020-05-28 03:51:27,AMEN. https://t.co/VKL1ZxZSKh Touch: https://t.co/IN9IezZ3GH #coronavirus #CoronavirusPandemic #COVID19 #Covid19Out #ChinaVirus #ChinaLiedPeopleDied #depression #HealthcareHeroes #health #PrayerRequest #amreading #books #Reading #mustread #ebook #bynr #paranormal #spirituality https://t.co/13X2KiMmhU,-0.5719,-1,negative
404,"Bombay, India ",2020-05-28 03:51:10,My interview #Parvathy @parvatweets speaks length first time long battle #depression. She also tells proud #Kerala's response #COVID19 &amp; 2019 film #Virus must-watch pandemic https://t.co/Q96kRGqIMf,-0.4939,-1,negative
405,"San Antonio, Texas",2020-05-28 03:46:31,"Learn managing #stress, #anxiety, loneliness may result #COVID19 social distancing @LivingBeyondBC #bcsm https://t.co/cI2oZRvE39",-0.743,-1,negative
406,"Harare, Zimbabwe",2020-05-28 03:44:30,"📰 1st REPORT finding low-income country, #ZImbabwe🇿🇼 #FriendshipBench !) Showing people 3x likely suffer long-term #depression also high anxiety levels. #covid19 #reserach #mentalhealth @KingsIoPPN @kubatana https://t.co/Zzws4hjQ3y https://t.co/5Eex3JeZBQ",-0.8478,-1,negative
407,Illinois,2020-05-28 03:38:14,"Nearly half #parents children 18 reported high level #stress - score 8 greater 10! No significant difference stress levels moms dads, moms reported feeling overwhelmed dads reported feeling lonely @APA #Covid_19 https://t.co/w5iKCRMVze",-0.6467,-1,negative
408,"Washington, DC",2020-05-28 03:37:30,"Nearly half #parents children 18 reported high level #stress - score 8 greater 10! No significant difference stress levels moms dads, moms reported feeling overwhelmed dads reported feeling lonely @APA #Covid_19 https://t.co/w5iKCRMVze",-0.6467,-1,negative
409,"Washington, DC ",2020-05-28 03:21:57,Super pleased jointly written (w @JLSkillings) resource consulting #anxiety #stress #Covid_19 #HealthcareHeroes @APA @APAPractice @division42 @GovMikeDeWine @DrAmyActon @APADivision38 https://t.co/ZGjfRhAzkt,0.5106,1,positive
410,"TN, USA",2020-05-28 03:04:19,Coronavirus Pendemic COVID -19 signs symptoms #coronavirus #COVID19 #homeopathy #TaimouriClinic #HomeoClinic #Homeopathic #fear #Depression #Sadness #غم #CoronavirusMedicine #CoronaWarriors #coronaAnxiety #coronaFear #panicAttack https://t.co/b8z0WjRSFd,-0.8689,-1,negative
411,"Chicago, IL",2020-05-28 02:51:13,"Nearly half #parents children 18 reported high level #stress - score 8 greater 10! No significant difference stress levels moms dads, moms reported feeling overwhelmed dads reported feeling lonely @APA #Covid_19 https://t.co/w5iKCRMVze",-0.6467,-1,negative
412,"Washington, DC",2020-05-28 02:49:09,"Nearly half #parents children 18 reported high level #stress - score 8 greater 10! No significant difference stress levels moms dads, moms reported feeling overwhelmed dads reported feeling lonely @APA #Covid_19 https://t.co/w5iKCRMVze",-0.6467,-1,negative
413,"Austin, TX",2020-05-28 02:20:13,No One Is Actually Learning Because We Are All Grieving https://t.co/iyL80u7SGo #schoolrubric #coronavirus #covid-19 #distancelearning #grief #stress #trauma #wellness via @atheadavis @schoolrubric https://t.co/BhZGjlXXg2,-0.886,-1,negative
414,"Madhya Pradesh, India",2020-05-28 02:10:52,It’s virus. You can’t let consume thoughts #COVID__19 #Corona #BeatCOVID19 #Immunity #ImmuneSystem #immunesupport #stress #stressmanagement #VirusCorona #RachnaRestores #autoimmune #warrior https://t.co/Ja3izHjVFW,-0.4215,-1,negative
415,"Athens, GA",2020-05-28 01:58:41,"Nearly half #parents children 18 reported high level #stress - score 8 greater 10! No significant difference stress levels moms dads, moms reported feeling overwhelmed dads reported feeling lonely @APA #Covid_19 https://t.co/w5iKCRMVze",-0.6467,-1,negative
416,Canada,2020-05-28 01:48:22,Recognizing many ways grief shows pandemic. #COVID19 #canada #coronavirus #health #mentalhealth #stress #wellness #adversity #grief #pandemic https://t.co/fmjqFgGRJF,-0.8442,-1,negative
417,"Athens, GA",2020-05-28 01:45:37,Super pleased jointly written (w @JLSkillings) resource consulting #anxiety #stress #Covid_19 #HealthcareHeroes @APA @APAPractice @division42 @GovMikeDeWine @DrAmyActon @APADivision38 https://t.co/ZGjfRhAzkt,0.5106,1,positive
418,"San Luis Valley, Colorado, USA",2020-05-28 01:28:30,#COVID__19 /#coronavirus affecting everyone's #mentalhealth including children. Help raise money publish picture book children #depression https://t.co/xDPXjMnFlp,-0.25,-1,negative
419,"Ontario, Canada",2020-05-28 01:15:35,#COVID__19 /#coronavirus affecting everyone's #mentalhealth including children. Help raise money publish picture book children #depression https://t.co/xDPXjMnFlp,-0.25,-1,negative
420,"Colorado Springs, CO",2020-05-28 01:06:44,"1/ A third Americans (since #Covid_19 )show signs clinical anxiety #depression, Census Bureau finds *Census Bureau's ""emergency coronavirus project""😶 aka 2020 Household Pulse Survey via .@CDCgov Who address #MentalHealth FUNDS❓ https://t.co/osDhX3YWIX",-0.7906,-1,negative
421,Bangalore/Delhi,2020-05-28 01:02:25,My interview #Parvathy @parvatweets speaks length first time long battle #depression. She also tells proud #Kerala's response #COVID19 &amp; 2019 film #Virus must-watch pandemic https://t.co/Q96kRGqIMf,-0.4939,-1,negative
422,Sri Lanka,2020-05-28 01:00:04,Managing Covid-19 Stress #RaptorDigital #DigitalMarketing #Lka #SriLanka #Business #Solutions #Branding #Facebook #Instagram #Twitter #Marketing #Innovation #Design #Covid19 #Corona #Stress #Work #WorkFromHome 2/2 https://t.co/qfFhHKF9wK,-0.3182,-1,negative
423,Sri Lanka,2020-05-28 01:00:04,Managing Covid-19 Stress #RaptorDigital #DigitalMarketing #Lka #SriLanka #Business #Solutions #Branding #Facebook #Instagram #Twitter #Marketing #Innovation #Design #Covid19 #Corona #Stress #Work #WorkFromHome 1/2 https://t.co/1HNba2OXdx,-0.3182,-1,negative
